idAdress;No voie;Type de voie;Voie;idCommune
484;5139;;CANARD;140
485;9190;ALL;ALBERT BOURGES;117
486;5076;;LES UBACS;132
487;5271;;CLOT PEOUILLOUX;132
488;5162;;LE CHATEAU;141
489;5979;RUE;DE LA LIBERTE;115
490;5170;;PRE LONGIS;128
491;5165;;PRE DES LAGIERS;128
492;5240;;LES CHALPS;130
493;5644;;PELINCHE;130
494;6051;;SERRE SERRET;122
495;1;CRS;EMILE ZOLA;121
496;5338;COR;DU CLOT CHENU;112
497;5337;;LES QUEYRETS ET PEYRON;142
498;63;RUE;DE LA GUISANE;125
499;5244;;PRE LONGIS;128
500;5725;;LES ILES;125
501;8;RUE;ROSSINI;143
502;27;RUE;LAMARTINE;143
503;20;RUE;MARCEAU;143
504;98;BD;PAPE JEAN 23;144
505;;RUE;LAMARTINE;143
506;31;RUE;HEROLD;143
507;34;RUE;DE LA BUFFA;143
508;17;RUE;GOUNOD;143
509;10;AV;CYRILLE BESSET;145
510;23;RUE;ASSALIT;143
511;43;BD;STALINGRAD;144
512;29;AV;VILLERMONT;143
513;140;QUAI;DE LA BANQUIERE;146
514;52;RUE;MAL VAUBAN;144
515;4;AV;VALROSE;145
516;54;AV;DE LA REPUBLIQUE;144
517;34;BD;STALINGRAD;144
518;18;RUE;FONCET;143
519;65;AV;GEORGE  5;143
520;2;RUE;SPITALIERI;143
521;9;RUE;DU MARECHAL JOFFRE;143
522;4;RUE;MARALDI;144
523;4;BD;CIMIEZ;143
524;9013;;COL DE VILLEFRANCHE;144
525;5;RUE;CHANOINE ALBIN;144
526;57;BD;DU MONT BORON;144
527;84;RUE;DU MARECHAL JOFFRE;143
528;40;BD;STALINGRAD;144
529;26;BD;AUGUSTE RAYNAUD;145
530;4;RUE;BARLA;144
531;3;MTE;DESAMBROIS;143
532;12;RUE;CASSINI;144
533;25;RUE;BENOIT BUNICO;144
534;3;RUE;DE L OPERA;144
535;6;RUE;BENOIT BUNICO;144
536;33;RUE;ARSON;144
537;9;RUE;VERDI;143
538;20;RUE;CRONSTADT;143
539;152;BD;DE CESSOLE;145
540;3;RUE;MASCOINAT;144
541;8;AV;LEON DELOYE;147
542;21;RUE;VERNIER;143
543;1;RUE;JOSEPH GAZAN;143
544;31;RUE;GIOFFREDO;143
545;46;RUE;AUGUSTE GAL;144
546;29;AV;PAULIANI;143
547;5;BD;GENERAL LOUIS DELFINO;144
548;12;MTE;CLAIRE VIRENQUE;145
549;14;RUE;MASSINGY;143
550;12;RUE;EMMANUEL PHILIBERT;144
551;10;RUE;VERDI;143
552;9;RUE;GUBERNATIS;143
553;10;CHE;DE L ARBRE;147
554;48;COR;FRERE MARC;143
555;35;BD;JOSEPH GARNIER;143
556;40;BD;VICTOR HUGO;143
557;31;RUE;DE LEPANTE;143
558;21;RUE;DABRAY;143
559;16;AV;DU CHATEAU;147
560;7;RUE;ANTOINE SCOFFIER;147
561;99;AV;HESPERIDES;144
562;1;RLE;DES MOULINS;144
563;3;RUE;BARBERIS;144
564;20;RUE;ALBERT VOISIN;144
565;14;RUE;TRACHEL;143
566;39;RUE;GIOFFREDO;143
567;12;RUE;MIRON;143
568;12;RUE;ABBAYE;144
569;39;BD;JOSEPH GARNIER;143
570;6;RUE;SAINTE REPARATE;144
571;45;RUE;SMOLETT;144
572;1;BD;DE RIQUIER;144
573;98;AV;VALROSE;145
574;20;AV;VILLEBOIS MAREUIL;143
575;45;RUE;ROSSINI;143
576;19;BD;FRANCK PILATTE;144
577;116;BD;DE CESSOLE;145
578;14;RUE;CASSINI;144
579;23;CHE;FUON DAOU MAGISTRE;147
580;16;AV;RAYMOND COMBOUL;143
581;7;RUE;SAINT VINCENT;144
582;24;AV;AUGUSTE BERCY;145
583;14;AV;BORRIGLIONE;145
584;5;RUE;GUSTAVE DELOYE;143
585;11;BD;FRANCK PILATTE;144
586;39;RUE;BONAPARTE;144
587;53;BD;DU 8 MAI 1945;146
588;24;RUE;DELILLE;143
589;7;BD;DU ROSTIT;147
590;29;BD;FRANCOIS SUAREZ;147
591;18;BD;DE RIQUIER;144
592;43;AV;JEAN MEDECIN;143
593;44;BD;GAMBETTA;143
594;32;RUE;VERDI;143
595;7;RUE;DU SOLEIL;145
596;19;AV;D ANVERS;143
597;33;AV;STEPHEN LIEGEARD;145
598;25;AV;DESAMBROIS;143
599;8;CHE;DES CRETES;144
600;10;BD;DUBOUCHAGE;143
601;17;RUE;PENCHIENATTI;143
602;5;RUE;DES BOERS;145
603;132;AV;DE BRANCOLAR;145
604;37;AV;G CLEMENCEAU;143
605;190;RTE;DE TURIN;144
606;14;RUE;DES PONCHETTES;144
607;23;AV;GIACOBI;144
608;2;RUE;PARMENTIER;145
609;63;RUE;ROSSINI;143
610;16;PL;GARIBALDI;144
611;8;AV;SAINT JEAN BAPTISTE;143
612;10;RUE;LAURENT GIAUME;144
613;32;RUE;L HOTEL POSTES;143
614;39;RUE;DU MARECHAL JOFFRE;143
615;15;RUE;ASSALIT;143
616;8;RUE;SORGENTINO;144
617;11;PL;PASTEUR;147
618;15;RUE;DE LA PREFECTURE;144
619;3;RUE;DU CONGRES;143
620;41;RUE;CLEMENT ROASSAL;143
621;2;RUE;DE LA POISSONNERIE;144
622;5;AV;MIRABEAU;143
623;22;BD;DUBOUCHAGE;143
624;2;RUE;EMMA ET PHILIPPE TIRANTY;143
625;50;RUE;ARSON;144
626;13;RUE;MARALDI;144
627;240;CHE;DU FALICONET;148
628;15;RUE;RIBOTTI;144
629;17;RUE;DE RUSSIE;143
630;20;BD;ARMEE DES ALPES;144
631;45;BD;STALINGRAD;144
632;25;RUE;DE ROQUEBILLIERE;144
633;38;RUE;VERDI;143
634;6;AV;RENE BOYLESVE;145
635;9;RUE;EMMANUEL PHILIBERT;144
636;42;RUE;BONAPARTE;144
637;9;AV;MARECHAL LYAUTEY;143
638;25;RUE;TRACHEL;143
639;3;AV;URBAIN BOSIO;144
640;1;RUE;DE ORESTIS;144
641;54;RUE;AUGUSTE GAL PROLONGEE;144
642;30;BD;GORBELLA;145
643;1;RUE;MACCARANI;143
644;19;BD;FRANCOIS SUAREZ;147
645;49;BD;GENERAL LOUIS DELFINO;144
646;8;RUE;GUIGLIA;143
647;2;RUE;FONTAINE DE LA VILLE;144
648;15;RUE;DE BELGIQUE;143
649;30;BD;GENERAL LOUIS DELFINO;144
650;18;RUE;BERLIOZ;143
651;28;RUE;GEORGES VILLE;144
652;167;AV;MARECHAL LYAUTEY;143
653;1;RUE;VICTOR JUGE;143
654;10;RUE;BERLIOZ;143
655;109;QUAI;DE LA BANQUIERE;146
656;36;RTE;DE TURIN;144
657;18;AV;GRAVIER;145
658;30;RUE;GUIGLIA;143
659;12;PL;GUYNEMER;144
660;6;RUE;LAMARTINE;143
661;13;AV;CARAVADOSSI;143
662;4;RUE;RUSCA;144
663;1;PARC;LISERB;143
664;8;BD;DE RIQUIER;144
665;14;RUE;MARCEAU;143
666;3;RUE;FODERE;144
667;9002;ILOT;GUIGONIS ST FRANCOIS;144
668;11;RUE;TRACHEL;143
669;9;RUE;DIDEROT;143
670;71;BD;CIMIEZ;143
671;7;CHE;DES CRETES;144
672;21;BD;FRANCK PILATTE;144
673;19;BD;RAIMBALDI;143
674;54;BD;GENERAL LOUIS DELFINO;144
675;3;RUE;JULES GILLY;144
676;5221;;IBAC SUPERIEUR;148
677;22;RUE;L HOTEL POSTES;143
678;7;RUE;VILLENEUVE;143
679;2;RUE;BARRALIS;143
680;11;HLM;RUE CH BAUDELAIRE;145
681;10;AV;MARECHAL FOCH;143
682;1;RUE;GASTON ARNULF;147
683;21;RUE;EMMANUEL PHILIBERT;144
684;21;AV;DE LA REPUBLIQUE;144
685;6;RUE;FRANCOIS CARLO;143
686;54;RUE;DE FRANCE;143
687;78;BD;GENERAL LOUIS DELFINO;144
688;10;AV;DURANTE;143
689;1;AV;CHATEAUBRIAND;145
690;6;RUE;ABBE SALVETTI;144
691;15;BD;STALINGRAD;147
692;3;RUE;COLONNA D ISTRIA;144
693;136;BD;GAMBETTA;143
694;7;RUE;BERLIOZ;143
695;7;AV;ANTONIA AUGUSTA;143
696;3;RUE;MARTIN SEYTOUR;144
697;16;AV;NOTRE DAME;143
698;4;QUAI;PAPACINO;144
699;37;RUE;PASTORELLI;143
700;32;BD;DUBOUCHAGE;143
701;93;AV;DE RIMIEZ;145
702;9;VOIE;ROMAINE;143
703;10;AV;CAGNOLI;145
704;4;AV;MARECHAL FOCH;143
705;10;RUE;DU CONGRES;143
706;24;IMP;LAURENTI;145
707;21;AV;RENE BOYLESVE;145
708;1;AV;SAINTE CLAIRE;145
709;74;AV;DE BRANCOLAR;145
